2016-01-17 22:00:00,445 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @89764ms
2016-01-17 22:00:00,906 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.9.v20150224
2016-01-17 22:00:01,059 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@2f90fe98{/help,null,AVAILABLE}
2016-01-17 22:00:01,093 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@4b745587{HTTP/1.1}{127.0.0.1:53703}
2016-01-17 22:00:01,093 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @90416ms
2016-01-17 22:16:01,203 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.team10.lab0:lab0:0.0.1-SNAPSHOT @ /Users/baiqizhang/CMU/Course/18842_DS/DSTeam10/lab0/pom.xml.
2016-01-17 22:16:02,041 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lab0/src/main/java
2016-01-17 22:16:02,043 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /lab0/src/main/resources
2016-01-17 22:16:02,044 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lab0/src/test/java
2016-01-17 22:16:02,044 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /lab0/src/test/resources
2016-01-17 22:16:03,882 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:16:03,893 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:16:03,897 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:16:03,898 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-17 22:18:30,544 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.team10.lab0:lab0:0.0.1-SNAPSHOT @ /Users/baiqizhang/CMU/Course/18842_DS/DSTeam10/lab0/pom.xml.
2016-01-17 22:18:30,558 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.yaml:snakeyaml:jar:1.17-SNAPSHOT is missing, no dependency information available
2016-01-17 22:18:30,800 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
